id,setId,number,name,set_code,set_name,rarity,color,type,slug,hp,stage,prew_stage_name,attack,ability,text,weakness,retreat,rule
A1-050,A1,50,Salazzle,A1,Genetic Apex,Common,Fire,Pokemon,a1-50-salazzle,90,Stage 1,Salandit,"[{""info"": ""{RC} Fire Claws 60"", ""effect"": """"}]",,,Water,1,
A1-051,A1,51,Sizzlipede,A1,Genetic Apex,Common,Fire,Pokemon,a1-51-sizzlipede,60,Basic,,"[{""info"": ""{C} Gnaw 10"", ""effect"": """"}]",,,Water,1,
A1-052,A1,52,Centiskorch,A1,Genetic Apex,Uncommon,Fire,Pokemon,a1-52-centiskorch,130,Stage 1,Sizzlipede,"[{""info"": ""{RCCC} Fire Blast 130"", ""effect"": ""Discard a {R} Energy from this Pok\u00e9mon.""}]",,,Water,3,
A1-053,A1,53,Squirtle,A1,Genetic Apex,Common,Water,Pokemon,a1-53-squirtle,60,Basic,,"[{""info"": ""{W} Water Gun 20"", ""effect"": """"}]",,,Lightning,1,
A1-054,A1,54,Wartortle,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-54-wartortle,80,Stage 1,Squirtle,"[{""info"": ""{WC} Wave Splash 40"", ""effect"": """"}]",,,Lightning,1,
A1-055,A1,55,Blastoise,A1,Genetic Apex,Rare,Water,Pokemon,a1-55-blastoise,150,Stage 2,Wartortle,"[{""info"": ""{WWC} Hydro Pump 80+"", ""effect"": ""If this Pok\u00e9mon has at least 2 extra {W} Energy attached, this attack does 60 more damage.""}]",,,Lightning,3,
A1-056,A1,56,Blastoise ex,A1,Genetic Apex,Double Rare,Water,Pokemon,a1-56-blastoiseex,180,Stage 2,Wartortle,"[{""info"": ""{WC} Surf 40"", ""effect"": """"}, {""info"": ""{WWC} Hydro Bazooka 100+"", ""effect"": ""If this Pok\u00e9mon has at least 2 extra {W} Energy attached, this attack does 60 more damage.""}]",,,Lightning,3,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-057,A1,57,Psyduck,A1,Genetic Apex,Common,Water,Pokemon,a1-57-psyduck,60,Basic,,"[{""info"": ""{C} Headache 10"", ""effect"": ""Your opponent can't use any Supporter cards from their hand during their next turn.""}]",,,Lightning,1,
A1-058,A1,58,Golduck,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-58-golduck,90,Stage 1,Psyduck,"[{""info"": ""{WW} Aqua Edge 70"", ""effect"": """"}]",,,Lightning,1,
A1-059,A1,59,Poliwag,A1,Genetic Apex,Common,Water,Pokemon,a1-59-poliwag,60,Basic,,"[{""info"": ""{C} Razor Fin 10"", ""effect"": """"}]",,,Lightning,1,
A1-060,A1,60,Poliwhirl,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-60-poliwhirl,90,Stage 1,Poliwag,"[{""info"": ""{CC} Knuckle Punch 40"", ""effect"": """"}]",,,Lightning,2,
A1-061,A1,61,Poliwrath,A1,Genetic Apex,Rare,Water,Pokemon,a1-61-poliwrath,150,Stage 2,Poliwhirl,"[{""info"": ""{WCC} Mega Punch 80"", ""effect"": """"}]","[{""info"": ""Counterattack"", ""effect"": ""If this Pok\u00e9mon is in the Active Spot and is damaged by an attack from your opponent's Pok\u00e9mon, do 20 damage to the attacking Pok\u00e9mon.""}]",,Lightning,2,
A1-062,A1,62,Tentacool,A1,Genetic Apex,Common,Water,Pokemon,a1-62-tentacool,60,Basic,,"[{""info"": ""{W} Gentle Slap 20"", ""effect"": """"}]",,,Lightning,1,
A1-063,A1,63,Tentacruel,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-63-tentacruel,110,Stage 1,Tentacool,"[{""info"": ""{WC} Poison Tentacles 50"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",,,Lightning,2,
A1-064,A1,64,Seel,A1,Genetic Apex,Common,Water,Pokemon,a1-64-seel,80,Basic,,"[{""info"": ""{CC} Headbutt 30"", ""effect"": """"}]",,,Lightning,2,
A1-065,A1,65,Dewgong,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-65-dewgong,120,Stage 1,Seel,"[{""info"": ""{WWW} Surf 90"", ""effect"": """"}]",,,Lightning,3,
A1-066,A1,66,Shellder,A1,Genetic Apex,Common,Water,Pokemon,a1-66-shellder,60,Basic,,"[{""info"": ""{W} Tongue Slap 20"", ""effect"": """"}]",,,Lightning,1,
A1-067,A1,67,Cloyster,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-67-cloyster,120,Stage 1,Shellder,"[{""info"": ""{WWC} Surf 70"", ""effect"": """"}]","[{""info"": ""Shell Armor"", ""effect"": ""This Pok\u00e9mon takes -10 damage from attacks.""}]",,Lightning,3,
A1-068,A1,68,Krabby,A1,Genetic Apex,Common,Water,Pokemon,a1-68-krabby,70,Basic,,"[{""info"": ""{WC} Vise Grip 40"", ""effect"": """"}]",,,Lightning,2,
A1-069,A1,69,Kingler,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-69-kingler,120,Stage 1,Krabby,"[{""info"": ""{WWC} KO Crab 80+"", ""effect"": ""Flip 2 coins. If both of them are heads, this attack does 80 more damage.""}]",,,Lightning,3,
A1-070,A1,70,Horsea,A1,Genetic Apex,Common,Water,Pokemon,a1-70-horsea,60,Basic,,"[{""info"": ""{W} Water Gun 20"", ""effect"": """"}]",,,Lightning,1,
A1-071,A1,71,Seadra,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-71-seadra,70,Stage 1,Horsea,"[{""info"": ""{WWW} Water Arrow"", ""effect"": ""This attack does 50 damage to 1 of your opponent's Pok\u00e9mon.""}]",,,Lightning,1,
A1-072,A1,72,Goldeen,A1,Genetic Apex,Common,Water,Pokemon,a1-72-goldeen,60,Basic,,"[{""info"": ""{C} Flop 10"", ""effect"": """"}]",,,Lightning,1,
A1-073,A1,73,Seaking,A1,Genetic Apex,Common,Water,Pokemon,a1-73-seaking,100,Stage 1,Goldeen,"[{""info"": ""{W} Horn Hazard 80"", ""effect"": ""Flip a coin. If tails, this attack does nothing.""}]",,,Lightning,1,
A1-074,A1,74,Staryu,A1,Genetic Apex,Common,Water,Pokemon,a1-74-staryu,50,Basic,,"[{""info"": ""{W} Smack 20"", ""effect"": """"}]",,,Lightning,1,
A1-075,A1,75,Starmie,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-75-starmie,90,Stage 1,Staryu,"[{""info"": ""{W} Wave Splash 40"", ""effect"": """"}]",,,Lightning,0,
A1-076,A1,76,Starmie ex,A1,Genetic Apex,Double Rare,Water,Pokemon,a1-76-starmieex,130,Stage 1,Staryu,"[{""info"": ""{WW} Hydro Splash 90"", ""effect"": """"}]",,,Lightning,0,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-077,A1,77,Magikarp,A1,Genetic Apex,Common,Water,Pokemon,a1-77-magikarp,30,Basic,,"[{""info"": ""{C} Splash 10"", ""effect"": """"}]",,,Lightning,1,
A1-078,A1,78,Gyarados,A1,Genetic Apex,Rare,Water,Pokemon,a1-78-gyarados,150,Stage 1,Magikarp,"[{""info"": ""{WWWW} Hyper Beam 100"", ""effect"": ""Discard a random Energy from your opponent's Active Pok\u00e9mon.""}]",,,Lightning,4,
A1-079,A1,79,Lapras,A1,Genetic Apex,Rare,Water,Pokemon,a1-79-lapras,100,Basic,,"[{""info"": ""{W} Hydro Pump 20+"", ""effect"": ""If this Pok\u00e9mon has at least 3 extra {W} Energy attached, this attack does 70 more damage.""}]",,,Lightning,2,
A1-080,A1,80,Vaporeon,A1,Genetic Apex,Rare,Water,Pokemon,a1-80-vaporeon,130,Stage 1,Eevee,"[{""info"": ""{WCC} Bubble Drain 60"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",,,Lightning,2,
A1-081,A1,81,Omanyte,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-81-omanyte,90,Stage 1,Helix Fossil,"[{""info"": ""{W} Water Gun 40"", ""effect"": """"}]",,,Lightning,1,
A1-082,A1,82,Omastar,A1,Genetic Apex,Rare,Water,Pokemon,a1-82-omastar,140,Stage 2,Omanyte,"[{""info"": ""{WCC} Ancient Whirlpool 70"", ""effect"": ""During your opponent's next turn, the Defending Pok\u00e9mon can't attack.""}]",,,Lightning,2,
A1-083,A1,83,Articuno,A1,Genetic Apex,Rare,Water,Pokemon,a1-83-articuno,100,Basic,,"[{""info"": ""{WWC} Ice Beam 60"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.""}]",,,Lightning,1,
A1-084,A1,84,Articuno ex,A1,Genetic Apex,Double Rare,Water,Pokemon,a1-84-articunoex,140,Basic,,"[{""info"": ""{WC} Ice Wing 40"", ""effect"": """"}, {""info"": ""{WWW} Blizzard 80"", ""effect"": ""This attack also does 10 damage to each of your opponent's Benched Pok\u00e9mon.""}]",,,Lightning,2,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-085,A1,85,Ducklett,A1,Genetic Apex,Common,Water,Pokemon,a1-85-ducklett,50,Basic,,"[{""info"": ""{CC} Flap 30"", ""effect"": """"}]",,,Lightning,1,
A1-086,A1,86,Swanna,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-86-swanna,90,Stage 1,Ducklett,"[{""info"": ""{CCC} Wing Attack 70"", ""effect"": """"}]",,,Lightning,1,
A1-087,A1,87,Froakie,A1,Genetic Apex,Common,Water,Pokemon,a1-87-froakie,60,Basic,,"[{""info"": ""{C} Flop 10"", ""effect"": """"}]",,,Lightning,1,
A1-088,A1,88,Frogadier,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-88-frogadier,80,Stage 1,Froakie,"[{""info"": ""{C} Water Drip 30"", ""effect"": """"}]",,,Lightning,1,
A1-089,A1,89,Greninja,A1,Genetic Apex,Rare,Water,Pokemon,a1-89-greninja,120,Stage 2,Frogadier,"[{""info"": ""{WC} Mist Slash 60"", ""effect"": """"}]","[{""info"": ""Water Shuriken"", ""effect"": ""Once during your turn, you may do 20 damage to 1 of your opponent's Pok\u00e9mon.""}]",,Lightning,1,
A1-090,A1,90,Pyukumuku,A1,Genetic Apex,Common,Water,Pokemon,a1-90-pyukumuku,70,Basic,,"[{""info"": ""{W} Rain Splash 30"", ""effect"": """"}]",,,Lightning,1,
A1-091,A1,91,Bruxish,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-91-bruxish,90,Basic,,"[{""info"": ""{WC} Second Strike 10+"", ""effect"": ""If your opponent's Active Pok\u00e9mon has damage on it, this attack does 60 more damage.""}]",,,Lightning,1,
A1-092,A1,92,Snom,A1,Genetic Apex,Common,Water,Pokemon,a1-92-snom,50,Basic,,"[{""info"": ""{C} Ram 10"", ""effect"": """"}]",,,Metal,1,
A1-093,A1,93,Frosmoth,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-93-frosmoth,90,Stage 1,Snom,"[{""info"": ""{WC} Powder Snow 40"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Asleep.""}]",,,Metal,1,
A1-094,A1,94,Pikachu,A1,Genetic Apex,Common,Lightning,Pokemon,a1-94-pikachu,60,Basic,,"[{""info"": ""{L} Gnaw 20"", ""effect"": """"}]",,,Fighting,1,
A1-095,A1,95,Raichu,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-95-raichu,100,Stage 1,Pikachu,"[{""info"": ""{LLL} Thunderbolt 140"", ""effect"": ""Discard all Energy from this Pok\u00e9mon.""}]",,,Fighting,1,
A1-096,A1,96,Pikachu ex,A1,Genetic Apex,Double Rare,Lightning,Pokemon,a1-96-pikachuex,120,Basic,,"[{""info"": ""{LL} Circle Circuit 30x"", ""effect"": ""This attack does 30 damage for each of your Benched {L} Pok\u00e9mon.""}]",,,Fighting,1,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-097,A1,97,Magnemite,A1,Genetic Apex,Common,Lightning,Pokemon,a1-97-magnemite,60,Basic,,"[{""info"": ""{L} Lightning Ball 20"", ""effect"": """"}]",,,Fighting,1,
A1-098,A1,98,Magneton,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-98-magneton,80,Stage 1,Magnemite,"[{""info"": ""{LCCC} Spinning Attack 60"", ""effect"": """"}]","[{""info"": ""Volt Charge"", ""effect"": ""Once during your turn, you may take a {L} Energy from your Energy Zone and attach it to this Pok\u00e9mon.""}]",,Fighting,2,
A1-099,A1,99,Voltorb,A1,Genetic Apex,Common,Lightning,Pokemon,a1-99-voltorb,60,Basic,,"[{""info"": ""{L} Tackle 20"", ""effect"": """"}]",,,Fighting,1,
A1-100,A1,100,Electrode,A1,Genetic Apex,Uncommon,Lightning,Pokemon,a1-100-electrode,80,Stage 1,Voltorb,"[{""info"": ""{LL} Electro Ball 70"", ""effect"": """"}]",,,Fighting,0,
A1-101,A1,101,Electabuzz,A1,Genetic Apex,Common,Lightning,Pokemon,a1-101-electabuzz,70,Basic,,"[{""info"": ""{LL} Thunder Punch 40+"", ""effect"": ""Flip a coin. If heads, this attack does 40 more damage. If tails, this Pok\u00e9mon also does 20 damage to itself.""}]",,,Fighting,1,
A1-102,A1,102,Jolteon,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-102-jolteon,90,Stage 1,Eevee,"[{""info"": ""{LC} Pin Missile 40x"", ""effect"": ""Flip 4 coins. This attack does 40 damage for each heads.""}]",,,Fighting,1,
A1-103,A1,103,Zapdos,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-103-zapdos,100,Basic,,"[{""info"": ""{LLC} Raging Thunder 100"", ""effect"": ""This attack also does 30 damage to 1 of your Benched Pok\u00e9mon.""}]",,,Lightning,1,
A1-104,A1,104,Zapdos ex,A1,Genetic Apex,Double Rare,Lightning,Pokemon,a1-104-zapdosex,130,Basic,,"[{""info"": ""{L} Peck 20"", ""effect"": """"}, {""info"": ""{LLL} Thundering Hurricane 50x"", ""effect"": ""Flip 4 coins. This attack does 50 damage for each heads.""}]",,,Lightning,1,"When your Pokémon ex is Knocked Out, your opponent gets 2 points."
A1-105,A1,105,Blitzle,A1,Genetic Apex,Common,Lightning,Pokemon,a1-105-blitzle,60,Basic,,"[{""info"": ""{L} Zap Kick 20"", ""effect"": """"}]",,,Fighting,1,
A1-106,A1,106,Zebstrika,A1,Genetic Apex,Uncommon,Lightning,Pokemon,a1-106-zebstrika,90,Stage 1,Blitzle,"[{""info"": ""{L} Thunder Spear"", ""effect"": ""This attack does 30 damage to 1 of your opponent's Pok\u00e9mon.""}]",,,Fighting,1,
A1-107,A1,107,Tynamo,A1,Genetic Apex,Common,Lightning,Pokemon,a1-107-tynamo,30,Basic,,"[{""info"": ""{L} Tiny Charge 30"", ""effect"": """"}]",,,Fighting,1,
A1-108,A1,108,Eelektrik,A1,Genetic Apex,Uncommon,Lightning,Pokemon,a1-108-eelektrik,80,Stage 1,Tynamo,"[{""info"": ""{L} Head Bolt 40"", ""effect"": """"}]",,,Fighting,2,
A1-109,A1,109,Eelektross,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-109-eelektross,140,Stage 2,Eelektrik,"[{""info"": ""{LLC} Thunder Fang 80"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.""}]",,,Fighting,3,
A1-110,A1,110,Helioptile,A1,Genetic Apex,Common,Lightning,Pokemon,a1-110-helioptile,60,Basic,,"[{""info"": ""{L} Tail Whap 20"", ""effect"": """"}]",,,Fighting,1,
